 -0.885000000000000     
  0.000000E+00  2.467309-100  8.220086-100  1.445752E-99  3.675626E-99  6.087859E-99  8.289683E-99  1.119278E-98
  1.478224E-98  2.204710E-98  2.380164E-98  2.852305E-98  3.774384E-98  2.029383E-98  5.176572E-98  5.171713E-98
  6.924248E-98  8.000785E-98  9.068227E-98  9.658648E-98  1.126492E-97  1.294840E-97  1.361680E-97  1.529333E-97
  1.676641E-97  1.949741E-97  2.081231E-97  2.266298E-97  2.530418E-97  2.664378E-97  2.842134E-97  3.194191E-97
  3.337687E-97  3.786210E-97  4.015710E-97  4.143449E-97  4.622977E-97  4.828513E-97  5.213122E-97  5.489079E-97
  5.889493E-97  6.336134E-97  6.663500E-97  7.098608E-97  7.317020E-97  8.098227E-97  8.090318E-97  8.684995E-97
  9.309697E-97  9.762700E-97  1.034648E-96  1.062791E-96  1.144155E-96  1.182405E-96  1.221154E-96  1.283758E-96
  1.357375E-96  1.450314E-96  1.463014E-96  1.528570E-96  1.629159E-96  1.652805E-96  1.755804E-96  1.781148E-96
  1.894952E-96  1.996066E-96  2.030614E-96  2.107745E-96  2.167061E-96  2.290386E-96  2.338922E-96  2.403708E-96
  2.548508E-96  2.597620E-96  2.721687E-96  2.752939E-96  2.885244E-96  2.990280E-96  3.040266E-96  3.137342E-96
  3.251924E-96  3.396008E-96  3.457927E-96  3.555454E-96  3.672217E-96  3.850358E-96  3.881972E-96  3.976048E-96
  4.091093E-96  4.227938E-96  4.368700E-96  4.439962E-96  4.593180E-96  4.687243E-96  4.761973E-96  4.895078E-96
  5.058443E-96  5.226119E-96  5.364186E-96  5.405771E-96  5.574967E-96  5.714519E-96  5.851410E-96  5.977852E-96
  5.995297E-96  6.294659E-96  6.362781E-96  6.492884E-96  6.609122E-96  6.813090E-96  6.887805E-96  6.964398E-96
  7.206924E-96  7.328207E-96  7.511074E-96  7.592779E-96  7.822975E-96  7.931932E-96  8.009380E-96  8.168332E-96
  8.388102E-96  8.508044E-96  8.645649E-96  8.740415E-96  8.878008E-96  9.149024E-96  9.173645E-96  9.339993E-96
 -0.875000000000000     
  0.000000E+00  2.951739E-97  1.151571E-96  1.922174E-96  4.934991E-96  8.055203E-96  1.112188E-95  1.459802E-95
  1.967122E-95  2.941538E-95  3.161905E-95  3.816051E-95  2.031238E-95  4.754183E-95  6.944491E-95  6.895187E-95
  9.235114E-95  1.071509E-94  1.208510E-94  1.286113E-94  1.504776E-94  1.720626E-94  1.811777E-94  2.040331E-94
  2.225769E-94  2.586937E-94  2.768817E-94  3.003294E-94  3.355977E-94  3.537057E-94  3.763312E-94  4.227343E-94
  4.403564E-94  5.000954E-94  5.302774E-94  5.462859E-94  6.062696E-94  6.355353E-94  6.856640E-94  7.208624E-94
  7.717690E-94  8.304615E-94  8.724404E-94  9.271606E-94  9.534176E-94  1.058117E-93  1.053380E-93  1.129931E-93
  1.209603E-93  1.265062E-93  1.341968E-93  1.375807E-93  1.479189E-93  1.528267E-93  1.575718E-93  1.652007E-93
  1.745442E-93  1.860797E-93  1.876419E-93  1.959114E-93  2.082806E-93  2.108839E-93  2.240342E-93  2.265876E-93
  2.409757E-93  2.530477E-93  2.572775E-93  2.666018E-93  2.732415E-93  2.892154E-93  2.949586E-93  3.020339E-93
  3.197305E-93  3.254132E-93  3.403636E-93  3.442414E-93  3.600425E-93  3.730536E-93  3.781359E-93  3.897944E-93
